Root,Wordlength,Frequency,PercentileFrequency
pantoufle,9,9.75,16.861826697892273
kangourou,9,9.0,16.627634660421545
alligator,9,8.43,15.925058548009368
langouste,9,7.59,15.456674473067917
rossignol,9,6.62,15.22248243559719
leitmotiv,9,5.97,14.988290398126464
camembert,9,5.96,14.754098360655739
pharmacie,9,5.3,14.285714285714286
avalanche,9,5.2,14.051522248243561
sarabande,9,5.14,13.817330210772834
libellule,9,5.09,13.23185011709602
satellite,9,5.09,13.23185011709602
difficile,9,4.9,12.88056206088993
dinosaure,9,4.57,12.412177985948478
diplomate,9,4.56,12.177985948477753
ambassade,9,3.72,11.943793911007026
magnanime,9,3.25,11.241217798594848
magouille,9,3.23,11.007025761124122
caractère,9,3.0,10.53864168618267
margarine,9,2.66,10.304449648711945
marijuana,9,2.63,10.070257611241217
marmaille,9,2.6,9.836065573770492
marmelade,9,2.59,9.601873536299767
spaghetti,9,2.23,9.36768149882904
spectacle,9,2.18,9.133489461358314
enveloppe,9,2.15,8.899297423887589
cartouche,9,2.14,8.665105386416862
casserole,9,1.95,8.430913348946136
cataracte,9,1.79,8.079625292740047
cauchemar,9,1.72,7.259953161592506
améthyste,9,1.56,7.0257611241217806
synagogue,9,1.51,6.557377049180328
cérémonie,9,1.47,6.323185011709602
mirabelle,9,1.37,5.971896955503513
espéranto,9,1.31,5.3864168618266985
champagne,9,1.17,4.800936768149883
moustache,9,0.99,4.215456674473068
charlatan,9,0.9,3.747072599531616
chimpanzé,9,0.55,3.278688524590164
cicatrice,9,0.41,2.576112412177986
pacotille,9,0.27,2.107728337236534
clavicule,9,0.25,1.873536299765808
vaisselle,9,0.23,1.639344262295082
pantomime,9,0.19,1.405152224824356
framboise,9,0.17,1.17096018735363
parchemin,9,0.11,0.936768149882904
concombre,9,0.0,0.234192037470726
véhicule,8,13357.03,99.76580796252928
immeuble,8,6245.29,99.29742388758783
vinaigre,8,2135.06,98.59484777517565
confetti,8,874.36,96.72131147540983
perplexe,8,735.59,96.48711943793911
perruque,8,492.78,94.84777517564403
personne,8,433.59,93.91100702576112
zodiaque,8,390.39,92.97423887587823
pétanque,8,304.28,91.56908665105387
phalange,8,221.92,90.16393442622952
conquête,8,200.0,88.75878220140515
agricole,8,126.71,81.26463700234193
pingouin,8,125.19,80.79625292740047
aiguille,8,123.53,79.97658079625293
gouaille,8,110.8,76.11241217798595
contexte,8,108.21,75.87822014051523
amalgame,8,107.96,75.6440281030445
pizzeria,8,104.72,74.47306791569088
amertume,8,101.25,72.8337236533958
gourmand,8,95.82,71.66276346604215
angoisse,8,89.68,71.19437939110071
graffiti,8,84.92,69.67213114754098
liturgie,8,84.92,69.67213114754098
plastron,8,78.73,67.44730679156909
boussole,8,64.36,62.52927400468384
argentin,8,63.48,61.82669789227167
poitrail,8,58.76,59.4847775175644
poitrine,8,58.6,59.250585480093676
polisson,8,55.74,58.313817330210775
guenille,8,53.89,57.142857142857146
corniche,8,51.54,55.269320843091336
guimauve,8,46.19,53.161592505854806
marmotte,8,46.0,52.92740046838408
poubelle,8,45.41,52.459016393442624
aisselle,8,43.39,51.288056206088996
pouliche,8,42.7,50.351288056206094
massacre,8,41.37,48.94613583138174
aventure,8,41.04,48.477751756440284
matraque,8,39.81,47.7751756440281
corridor,8,38.75,46.8384074941452
balbutia,8,37.68,45.433255269320846
brancard,8,36.94,44.96487119437939
banquise,8,36.68,44.496487119437944
hanneton,8,35.03,43.559718969555036
artifice,8,34.66,42.740046838407494
bataille,8,34.42,42.38875878220141
mercerie,8,34.02,42.15456674473068
batterie,8,33.44,41.451990632318505
beaucoup,8,32.69,40.749414519906324
prestige,8,32.52,40.5152224824356
prétoire,8,32.26,39.81264637002342
cotillon,8,30.94,38.2903981264637
principe,8,30.94,38.2903981264637
problème,8,29.69,35.831381733021075
aspirine,8,29.55,35.48009367681499
assassin,8,28.64,34.42622950819672
hibiscus,8,27.91,33.95784543325527
histoire,8,26.69,32.55269320843092
prophète,8,26.11,31.61592505854801
prothèse,8,24.62,29.7423887587822
prouesse,8,23.8,27.166276346604217
province,8,23.56,26.93208430913349
couscous,8,23.37,26.580796252927403
couverte,8,21.16,23.302107728337237
cramoisi,8,20.88,22.716627634660423
calomnie,8,20.45,22.482435597189696
brouhaha,8,19.82,22.014051522248245
pyramide,8,19.71,21.779859484777518
carrosse,8,18.36,21.311475409836067
racaille,8,16.47,20.374707259953162
chapelet,8,16.22,20.140515222482435
chapitre,8,16.01,19.90632318501171
crevette,8,15.9,19.672131147540984
absinthe,8,15.53,19.437939110070257
rambarde,8,14.96,19.203747072599533
rancoeur,8,14.59,18.969555035128806
atteinte,8,14.55,18.73536299765808
bulletin,8,14.11,18.26697892271663
walkman,7,692.42,96.01873536299766
western,7,628.18,95.5503512880562
pervers,7,335.74,91.8032786885246
pétoche,7,285.55,91.33489461358315
bourbon,7,285.35,91.10070257611241
bourrin,7,277.59,90.86651053864169
voiture,7,235.39,90.63231850117097
pharaon,7,214.41,89.92974238875878
conseil,7,190.88,88.05620608899298
bourdon,7,188.43,87.58782201405153
adresse,7,176.58,86.88524590163935
constat,7,135.32,82.43559718969556
piscine,7,117.65,79.39110070257611
gorille,7,117.11,79.15690866510539
gouache,7,112.2,76.5807962529274
goudron,7,106.43,75.17564402810305
gouffre,7,106.25,74.94145199063232
placard,7,104.39,74.23887587822014
placide,7,103.48,73.53629976580797
plafond,7,103.44,73.30210772833723
liquide,7,96.73,71.89695550351288
souffle,7,82.42,68.384074941452
plastic,7,79.77,67.91569086651054
contrat,7,77.84,67.21311475409837
grenade,7,70.7,66.04215456674473
grenier,7,70.38,65.57377049180329
griffon,7,68.36,64.40281030444964
grillon,7,67.44,63.70023419203747
gringue,7,66.24,62.997658079625296
corbeau,7,61.89,60.65573770491804
poisson,7,59.47,59.71896955503513
gruyère,7,54.79,57.37704918032787
guichet,7,47.75,54.332552693208434
guignol,7,47.52,54.09836065573771
guitare,7,44.45,51.99063231850117
haillon,7,41.49,49.414519906323186
prairie,7,37.88,45.9016393442623
article,7,34.66,42.740046838407494
haricot,7,33.71,41.92037470725995
costard,7,32.77,40.98360655737705
costaud,7,32.49,40.28103044496487
cottage,7,30.59,37.47072599531616
suicide,7,29.48,34.894613583138174
couffin,7,27.64,33.48946135831382
bouffon,7,26.92,33.021077283372364
couloir,7,26.37,31.850117096018735
honneur,7,25.53,30.913348946135834
courage,7,25.22,30.679156908665107
courbes,7,24.87,30.093676814988292
hôpital,7,24.87,30.093676814988292
horizon,7,24.54,29.27400468384075
horloge,7,24.27,28.571428571428573
brigade,7,24.26,28.337236533957846
bricole,7,23.98,27.634660421545668
vouvoie,7,23.37,26.580796252927403
hospice,7,23.33,26.229508196721312
bronche,7,23.28,25.995316159250585
murmure,7,23.19,25.76112412177986
asticot,7,22.67,25.058548009367684
muscade,7,22.54,24.824355971896956
brioche,7,22.49,24.59016393442623
coussin,7,22.42,24.355971896955506
puberté,7,22.34,24.12177985948478
couteau,7,22.28,23.88758782201405
bristol,7,21.16,23.302107728337237
volcan,6,1710.08,98.1264637002342
volley,6,1516.84,97.65807962529274
vortex,6,1031.05,97.18969555035129
perron,6,631.14,95.78454332552694
yaourt,6,540.2,95.08196721311475
persil,6,476.39,94.61358313817331
zénith,6,456.96,94.37939110070258
zigzag,6,440.02,94.14519906323186
argent,6,431.38,93.6768149882904
girafe,6,384.91,92.50585480093677
zombie,6,351.7,92.03747072599532
jamais,6,223.77,90.39812646370024
bourde,6,189.48,87.82201405152225
gloire,6,184.7,87.3536299765808
glotte,6,177.7,87.11943793911007
phrase,6,168.42,86.18266978922718
pichet,6,156.77,85.71428571428572
pierre,6,149.66,83.8407494145199
pigeon,6,140.21,83.37236533957845
pignon,6,138.89,83.13817330210773
pilule,6,134.11,82.20140515222482
pinard,6,129.13,81.73302107728338
consul,6,128.74,81.49882903981265
pinède,6,125.79,81.0304449648712
pingre,6,125.15,80.56206088992974
pinson,6,124.82,80.32786885245902
gomina,6,123.53,79.97658079625293
alarme,6,116.75,78.45433255269322
pistil,6,116.51,77.98594847775176
alerte,6,115.29,77.75175644028103
piston,6,115.21,77.51756440281031
leurre,6,114.88,77.28337236533959
gourde,6,103.57,73.77049180327869
limite,6,97.13,72.1311475409836
sombre,6,88.94,70.96018735362998
gradin,6,85.25,70.02341920374708
gramme,6,82.96,68.61826697892272
plasma,6,80.28,68.14988290398126
grange,6,78.75,67.68149882903981
granit,6,76.92,66.97892271662764
grappe,6,76.85,66.74473067915692
gratin,6,75.88,66.51053864168618
cookie,6,71.16,66.27634660421546
grenat,6,70.62,65.80796252927401
podium,6,68.44,64.63700234192038
grives,6,65.13,62.76346604215457
magnat,6,63.5,62.060889929742395
coquin,6,62.84,61.59250585480094
corail,6,62.01,61.124121779859486
poison,6,59.49,59.95316159250586
grotte,6,58.16,59.016393442622956
pollen,6,55.18,57.84543325526932
guenon,6,53.61,56.90866510538642
pompon,6,53.18,56.206088992974244
statue,6,51.83,55.73770491803279
guerre,6,51.36,55.03512880562061
marché,6,47.14,53.86416861826698
guilde,6,47.08,53.62997658079625
hagard,6,42.99,51.05386416861827
poulpe,6,41.29,48.71194379391101
méduse,6,39.35,47.540983606557376
balade,6,37.76,45.66744730679157
cortex,6,36.54,44.02810304449649
menace,6,35.79,43.79391100702576
hasard,6,32.38,40.04683840749415
preuve,6,32.04,39.578454332552695
aspect,6,31.22,38.875878220140514
beurre,6,30.82,37.93911007025761
prison,6,30.37,37.23653395784544
minute,6,30.12,36.29976580796253
blague,6,29.53,35.1288056206089
bouche,6,27.13,33.25526932084309
moteur,6,25.59,31.147540983606557
asthme,6,24.5,29.039812646370024
coyote,6,21.12,22.95081967213115
valse,5,25988.48,100.0
vodka,5,10023.72,99.53161592505855
voici,5,2990.86,99.0632318501171
voilà,5,2304.36,98.82903981264637
ruine,5,1789.18,98.36065573770492
volet,5,1524.84,97.89227166276348
péril,5,1346.92,97.42388758782202
geste,5,973.85,96.95550351288057
wagon,5,705.85,96.2529274004684
sauce,5,570.67,95.31615925058549
gigot,5,395.66,93.44262295081968
gilet,5,390.58,93.20843091334895
giron,5,380.12,92.27166276346604
phare,5,213.9,89.69555035128806
phase,5,211.14,89.46135831381733
selle,5,198.49,88.52459016393443
globe,5,192.43,88.2903981264637
photo,5,173.29,86.65105386416862
bourg,5,171.53,86.4168618266979
pièce,5,153.91,85.24590163934427
gnome,5,152.86,85.01170960187353
argot,5,150.33,84.07494145199064
siège,5,141.59,83.60655737704919
pilon,5,137.07,82.90398126463701
godet,5,135.54,82.66978922716628
golfe,5,129.96,81.9672131147541
sinon,5,118.29,79.62529274004685
ainsi,5,116.91,78.92271662763467
piton,5,112.7,77.04918032786885
gosse,5,112.29,76.81498829039813
pitre,5,112.12,76.34660421545668
pivot,5,106.93,75.40983606557377
pizza,5,105.81,74.7072599531616
plage,5,103.34,73.06791569086651
ligue,5,98.81,72.59953161592506
plain,5,98.59,72.36533957845434
arôme,5,90.19,71.42857142857143
grâce,5,88.63,70.72599531615926
songe,5,87.46,70.49180327868852
grade,5,87.15,70.2576112412178
grain,5,84.54,69.3208430913349
plant,5,83.87,69.08665105386417
local,5,83.83,68.85245901639344
grief,5,69.02,65.10538641686183
lutte,5,67.97,64.16861826697892
soupe,5,67.56,63.9344262295082
poêle,5,67.18,63.46604215456675
magne,5,62.64,61.35831381733021
coran,5,61.96,60.88992974238876
poire,5,60.25,60.187353629976585
poker,5,57.73,58.78220140515223
polar,5,57.48,58.5480093676815
guêpe,5,53.23,56.440281030444964
poney,5,53.09,55.97189695550352
assez,5,49.57,54.56674473067916
pouce,5,44.96,52.2248243559719
aussi,5,44.22,51.75644028103045
poule,5,42.98,50.81967213114754
corps,5,42.77,50.585480093676814
autre,5,42.55,50.11709601873537
boyau,5,42.06,49.88290398126464
avant,5,41.59,49.64871194379391
haine,5,41.46,49.18032786885246
poupe,5,40.03,48.24355971896956
halle,5,39.99,48.00936768149883
bande,5,37.06,45.19906323185012
barbe,5,36.6,44.26229508196722
barre,5,35.02,43.32552693208431
merde,5,33.65,41.686182669789225
bravo,5,31.34,39.11007025761124
coton,5,30.74,37.704918032786885
sucre,5,30.24,36.53395784543326
herbe,5,30.1,36.0655737704918
heure,5,28.22,34.192037470726
hibou,5,27.72,33.723653395784545
boule,5,26.71,32.786885245901644
hiver,5,26.5,32.31850117096019
homme,5,25.98,31.381733021077284
honte,5,24.9,30.44496487119438
bribe,5,24.61,29.508196721311478
brave,5,24.31,28.8056206088993
moule,5,24.18,27.868852459016395
prune,5,22.92,25.526932084309134
hôtel,5,22.69,25.292740046838407
sympa,5,1.52,6.791569086651054
