Root,Frequency,Wordlength
music,163742,5
disco,163318,5
board,163026,5
night,162292,5
white,162243,5
clear,160647,5
stall,156702,5
house,155845,5
limit,155817,5
quite,155011,5
cause,154667,5
claim,152055,5
reply,150700,5
aired,149120,5
stuff,146715,5
sense,144057,5
wrong,143655,5
stops,143437,5
story,142693,5
space,139965,5
learn,139889,5
prime,139856,5
major,138137,5
heard,135881,5
short,134285,5
whole,131881,5
begin,129650,5
color,127890,5
title,127240,5
speak,126284,5
video,125689,5
trade,124068,5
women,123504,5
leave,122742,5
north,122624,5
build,121790,5
often,118292,5
event,117183,5
store,116434,5
mount,116277,5
total,116246,5
argue,113797,5
