"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","file_id","fKeyMeansCorrect","ID","responses","final_height_px","final_width_px","scale_factor","view_history","type","first","second","same_key","different_key","answer","gap_duration","second_stim_duration","post_trial_gap","first_stim_duration","prompt","correct","response","encoding_time","condition","root","prefixes","suffixes","word","error_to_which_morpheme","i_morpheme","i_within_morpheme","target_letter_before_error","letter_after_error","error_word","is_error"
"1170.4000000953674","","same-different-html","13","2143961","0.0-13.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","mipurtcilbatiy","mipurtcilbotiy","f","j","different","1000","2000","500","null","null","true","74","5189.800000071526","prsss","purt","mi","ci_lba_tiy","mipurtcilbatiy","s","1.0","2","a","o","mipurtcilbotiy","1"
"1064.2999999523163","","same-different-html","14","2150423","0.0-14.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","edpurt","etpurt","f","j","different","1000","2000","500","null","null","false","70","902.3999999761581","pr","purt","ed","","edpurt","p","0.0","1","d","t","etpurt","1"
"1977.7000000476837","","same-different-html","15","2162822","0.0-15.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","nonresoomivity","nonrehoomivity","f","j","different","1000","2000","500","null","null","true","74","8508.699999928474","pprss","soom","non_re","iv_ity","nonresoomivity","r","","0","s","h","nonrehoomivity","1"
"1500.5","","same-different-html","16","2168540","0.0-16.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","lienmentalism","lienmentalism","f","j","same","1000","2000","500","null","null","true","70","2255.399999976158","rsss","lien","","ment_al_ism","lienmentalism","s","2.0","1","s","p","lienmentalipm","0"
"931","","same-different-html","17","2174447","0.0-17.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","nunuctanoilayl","nunuctanoilayl","f","j","same","1000","2000","500","null","null","true","70","3083.399999976158","prssss","nuc","nu","ta_noi_la_yl","nunuctanoilayl","s","3.0","1","l","w","nunuctanoilayw","0"
"671.2999999523163","","same-different-html","18","2177915","0.0-18.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","tonpessn","tonpessn","f","j","same","1000","2000","500","null","null","true","70","993.6000000238419","rs","tonp","","essn","tonpessn","r","","1","o","e","tenpessn","0"
"503.2000000476837","","same-different-html","19","2181208","0.0-19.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","ramless","ramless","f","j","same","1000","2000","500","null","null","true","70","892.7000000476837","rs","ram","","less","ramless","r","","1","a","o","romless","0"
"830.7000000476837","","same-different-html","20","2184743","0.0-20.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","cetically","cetically","f","j","same","1000","2000","500","null","null","true","70","835","rsss","cet","","ic_al_ly","cetically","s","0.0","0","i","e","cetecally","0"
"775.2000000476837","","same-different-html","21","2190500","0.0-21.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","onnriekeviyl","onnriekeviyl","f","j","same","1000","2000","500","null","null","true","70","3176.5999999046326","prss","riek","onn","evi_yl","onnriekeviyl","s","0.0","2","i","e","onnriekeveyl","0"
"3757.100000023842","","same-different-html","22","2200312","0.0-22.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","sidnikeatoniyar","sidnikeatoniyer","f","j","different","1000","2000","500","null","null","false","70","4087.7999999523163","pprss","keat","sid_ni","oni_yar","sidnikeatoniyar","s","1.0","1","a","e","sidnikeatoniyer","1"
"942.6000000238419","","same-different-html","23","2207573","0.0-23.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","erednucnemt","emednucnemt","f","j","different","1000","2000","500","null","null","true","74","4057.600000023842","pprs","nuc","er_ed","nemt","erednucnemt","p","0.0","1","r","m","emednucnemt","1"
"812.2999999523163","","same-different-html","24","2211163","0.0-24.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","bodant","botant","f","j","different","1000","2000","500","null","null","false","70","935.8000000715256","rs","bod","","ant","bodant","r","","2","d","t","botant","1"
"1549","","same-different-html","25","2218372","0.0-25.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","retincolg","retincolg","f","j","same","1000","2000","500","null","null","true","70","1193.8000000715256","pr","colg","retin","","retincolg","r","","1","o","i","retincilg","0"
"436","","same-different-html","26","2221292","0.0-26.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","xenol","xenol","f","j","same","1000","2000","500","null","null","true","70","690.1000000238419","pr","nol","xe","","xenol","p","0.0","1","e","a","xanol","0"
"864.2999999523163","","same-different-html","27","2227626","0.0-27.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","nuriektasitciyl","niriektasitciyl","f","j","different","1000","2000","500","null","null","true","74","3653","prssss","riek","nu","ta_sit_ci_yl","nuriektasitciyl","p","0.0","1","u","i","niriektasitciyl","1"
"944.8999999761581","","same-different-html","28","2232011","0.0-28.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","cetalisticly","cetalisticly","f","j","same","1000","2000","500","null","null","true","70","1669.7000000476837","rssss","cet","","al_ist_ic_ly","cetalisticly","s","3.0","1","y","r","cetalisticlr","0"
"2322.399999976158","","same-different-html","29","2239585","0.0-29.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","imdarficablity","imdarficablity","f","j","same","1000","2000","500","null","null","true","70","3326.2000000476837","prsss","darf","im","ic_abl_ity","imdarficablity","r","","0","d","h","imharficablity","0"
"2839.100000023842","","same-different-html","30","2249155","0.0-30.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","onnerfradviyti","onnerfradviyti","f","j","same","1000","2000","500","null","null","true","70","4765.700000047684","pprss","frad","onn_er","vi_yti","onnerfradviyti","s","1.0","0","y","n","onnerfradvinti","0"
"838.1999999284744","","same-different-html","31","2255593","0.0-31.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","nudobbalyti","nadobbalyti","f","j","different","1000","2000","500","null","null","true","74","3594.7000000476837","prss","dob","nu","bal_yti","nudobbalyti","p","0.0","1","u","a","nadobbalyti","1"
"1843.4000000953674","","same-different-html","32","2261155","0.0-32.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","ernitekacne","ernitekacne","f","j","same","1000","2000","500","null","null","true","70","1904.2000000476837","pprs","tek","er_ni","acne","ernitekacne","p","1.0","0","n","m","ermitekacne","0"
"627.6999999284744","","same-different-html","33","2264564","0.0-33.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","erpneil","orpneil","f","j","different","1000","2000","500","null","null","true","74","856","pr","neil","erp","","erpneil","p","0.0","0","e","o","orpneil","1"
"1138.2999999523163","","same-different-html","34","2268680","0.0-34.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","mispontation","mispontation","f","j","same","1000","2000","500","null","null","true","70","1137.5","prss","pont","mis","at_ion","mispontation","r","","2","n","m","mispomtation","0"
"965.6000000238419","","same-different-html","35","2275389","0.0-35.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","ernimarnemt","ernimarnemg","f","j","different","1000","2000","500","null","null","true","74","3808.2999999523163","pprs","mar","er_ni","nemt","ernimarnemt","s","0.0","3","t","g","ernimarnemg","1"
"578.6000000238419","","same-different-html","36","2278405","0.0-36.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","moror","moror","f","j","same","1000","2000","500","null","null","true","70","625.9000000953674","rs","mor","","or","moror","r","","1","o","u","muror","0"
"636.8999999761581","","same-different-html","37","2282087","0.0-37.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","misiwyl","misiwyl","f","j","same","1000","2000","500","null","null","true","70","1253.7000000476837","prs","siw","mi","yl","misiwyl","s","0.0","1","l","r","misiwyr","0"
"623.8999999761581","","same-different-html","38","2285171","0.0-38.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","edmarre","odmarre","f","j","different","1000","2000","500","null","null","true","74","646.7000000476837","prs","mar","ed","re","edmarre","p","0.0","0","e","o","odmarre","1"
"689.2999999523163","","same-different-html","39","2287787","0.0-39.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","krewationalist","krerationalist","f","j","different","1000","2000","500","null","null","true","74","191","rssss","krew","","at_ion_al_ist","krewationalist","r","","3","w","r","krerationalist","1"
"928","","same-different-html","40","2291214","0.0-40.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","ermisiwelba","ermisiwelbo","f","j","different","1000","2000","500","null","null","true","74","117.69999992847443","pprs","siw","er_mi","elba","ermisiwelba","s","0.0","3","a","o","ermisiwelbo","1"
"588.2000000476837","","same-different-html","41","2295203","0.0-41.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","reamable","reimable","f","j","different","1000","2000","500","null","null","true","74","990.8999999761581","rs","ream","","able","reamable","r","","2","a","i","reimable","1"
"1752.7000000476837","","same-different-html","42","2300104","0.0-42.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","discetful","discepful","f","j","different","1000","2000","500","null","null","true","74","1227.5999999046326","prs","cet","dis","ful","discetful","r","","2","t","p","discepful","1"
"657.9000000953674","","same-different-html","43","2303637","0.0-43.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","reingloc","reinglac","f","j","different","1000","2000","500","null","null","true","74","858.6000000238419","ppr","gloc","re_in","","reingloc","r","","2","o","a","reinglac","1"
"522.7000000476837","","same-different-html","44","2306504","0.0-44.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","unteak","untaak","f","j","different","1000","2000","500","null","null","true","74","647.3999999761581","pr","teak","un","","unteak","r","","1","e","a","untaak","1"
"1836.4000000953674","","same-different-html","45","2312253","0.0-45.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","sidnitrigoniyar","sidnitrigoniyar","f","j","same","1000","2000","500","null","null","true","70","2179.0999999046326","pprss","trig","sid_ni","oni_yar","sidnitrigoniyar","s","1.0","0","y","n","sidnitrigoninar","0"
"715.3999999761581","","same-different-html","46","2315898","0.0-46.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","intergeed","inhergeed","f","j","different","1000","2000","500","null","null","true","74","984.3999999761581","pr","geed","inter","","intergeed","p","0.0","2","t","h","inhergeed","1"
"1436.2999999523163","","same-different-html","47","2323055","0.0-47.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","louktainolayl","leuktainolayl","f","j","different","1000","2000","500","null","null","true","74","3664.9000000953674","rssss","louk","","ta_ino_la_yl","louktainolayl","r","","1","o","e","leuktainolayl","1"
"1674.5","","same-different-html","48","2328690","0.0-48.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","belsistically","belsisticalmy","f","j","different","1000","2000","500","null","null","false","70","1926.2000000476837","rssss","bels","","ist_ic_al_ly","belsistically","s","3.0","0","l","m","belsisticalmy","1"
"800.6999999284744","","same-different-html","49","2338706","0.0-49.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","tecsitcieta","techitcieta","f","j","different","1000","2000","500","null","null","true","74","6986.399999976158","rsss","tec","","sit_ci_eta","tecsitcieta","s","0.0","0","s","h","techitcieta","1"
"1410.3999999761581","","same-different-html","50","2345488","0.0-50.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","redarfively","redarfively","f","j","same","1000","2000","500","null","null","true","70","3570.2999999523163","prss","darf","re","ive_ly","redarfively","s","1.0","1","y","r","redarfivelr","0"
"1021.2999999523163","","same-different-html","51","2351637","0.0-51.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","remispookment","rumispookment","f","j","different","1000","2000","500","null","null","true","74","3164.6999999284744","pprs","pook","re_mis","ment","remispookment","p","0.0","1","e","u","rumispookment","1"
"1408.6000000238419","","same-different-html","52","2356915","0.0-52.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","marlazei","marlazei","f","j","same","1000","2000","500","null","null","true","70","1925.1000000238419","rss","mar","","la_zei","marlazei","s","1.0","1","e","o","marlazoi","0"
"1277.2000000476837","","same-different-html","53","2360981","0.0-53.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","cunically","cunically","f","j","same","1000","2000","500","null","null","true","70","856.8999999761581","rsss","cun","","ic_al_ly","cunically","s","0.0","0","i","a","cunacally","0"
"1132.1000000238419","","same-different-html","54","2365516","0.0-54.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","toutekneyl","touteknayl","f","j","different","1000","2000","500","null","null","true","74","1478.1999999284744","prss","tek","tou","ne_yl","toutekneyl","s","0.0","1","e","a","touteknayl","1"
"1404.3000000715256","","same-different-html","55","2372871","0.0-55.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","martainolasim","martainolasim","f","j","same","1000","2000","500","null","null","true","70","4162.200000047684","rssss","mar","","ta_ino_la_sim","martainolasim","r","","2","r","m","mamtainolasim","0"
"874.0999999046326","","same-different-html","56","2376995","0.0-56.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","unketistically","unketistically","f","j","same","1000","2000","500","null","null","true","70","1309.7000000476837","prssss","ket","un","ist_ic_al_ly","unketistically","p","0.0","1","n","m","umketistically","0"
"1033.5","","same-different-html","57","2382436","0.0-57.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","disinnegiously","disinnegiously","f","j","same","1000","2000","500","null","null","true","70","2400.5","pprss","neg","dis_in","ious_ly","disinnegiously","s","0.0","3","s","p","disinnegiouply","0"
"692.2000000476837","","same-different-html","58","2386348","0.0-58.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","disinsoomant","dihinsoomant","f","j","different","1000","2000","500","null","null","true","74","1354.9000000953674","pprs","soom","dis_in","ant","disinsoomant","p","0.0","2","s","h","dihinsoomant","1"
"612.6000000238419","","same-different-html","59","2389995","0.0-59.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","reamistically","meamistically","f","j","different","1000","2000","500","null","null","false","70","1134.5","rssss","ream","","ist_ic_al_ly","reamistically","r","","0","r","m","meamistically","1"
"1139.5","","same-different-html","60","2400230","0.0-60.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","infomivation","imfomivation","f","j","different","1000","2000","500","null","null","false","70","3045.399999976158","prsss","fom","in","iv_at_ion","infomivation","p","0.0","1","n","m","imfomivation","1"
"1097.2000000476837","","same-different-html","61","2405100","0.0-61.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","simneilnemt","simneilwemt","f","j","different","1000","2000","500","null","null","true","74","1765.4000000953674","prs","neil","sim","nemt","simneilnemt","s","0.0","0","n","w","simneilwemt","1"
"1101.1000000238419","","same-different-html","62","2409149","0.0-62.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","reinneg","reinreg","f","j","different","1000","2000","500","null","null","true","74","1124.0999999046326","ppr","neg","re_in","","reinneg","r","","0","n","r","reinreg","1"
"1568","","same-different-html","63","2414203","0.0-63.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","cetistically","cetistitally","f","j","different","1000","2000","500","null","null","true","74","1578.4000000953674","rssss","cet","","ist_ic_al_ly","cetistically","s","1.0","1","c","t","cetistitally","1"
"1101.7000000476837","","same-different-html","64","2420365","0.0-64.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","prasationally","prasahionally","f","j","different","1000","2000","500","null","null","true","74","2397.2999999523163","rssss","pras","","at_ion_al_ly","prasationally","s","0.0","1","t","h","prasahionally","1"
"1087.4000000953674","","same-different-html","65","2431539","0.0-65.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","edteclazitanoi","edteclatitanoi","f","j","different","1000","2000","500","null","null","true","74","8125.799999952316","prssss","tec","ed","la_zi_ta_noi","edteclazitanoi","s","1.0","0","z","t","edteclatitanoi","1"
"822.8999999761581","","same-different-html","66","2435715","0.0-66.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","pontationally","pontationally","f","j","same","1000","2000","500","null","null","true","70","1314.1000000238419","rssss","pont","","at_ion_al_ly","pontationally","r","","1","o","a","pantationally","0"
"827.1999999284744","","same-different-html","67","2440171","0.0-67.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","nonketively","nonketively","f","j","same","1000","2000","500","null","null","true","70","1705.3999999761581","prss","ket","non","ive_ly","nonketively","p","0.0","1","o","e","nenketively","0"
"640.3000000715256","","same-different-html","68","2443326","0.0-68.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","romsit","ramsit","f","j","different","1000","2000","500","null","null","true","74","701.4000000953674","rs","rom","","sit","romsit","r","","1","o","a","ramsit","1"
"991.2999999523163","","same-different-html","69","2447726","0.0-69.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","sidreemyti","sidreemyti","f","j","same","1000","2000","500","null","null","true","70","1648.8999999761581","prs","reem","sid","yti","sidreemyti","p","0.0","1","i","e","sedreemyti","0"
"908.3999999761581","","same-different-html","70","2451938","0.0-70.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","selblatiy","solblatiy","f","j","different","1000","2000","500","null","null","false","70","1431.3000000715256","rss","selb","","la_tiy","selblatiy","r","","1","e","o","solblatiy","1"
"1081.7000000476837","","same-different-html","71","2458391","0.0-71.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","unmispookably","unmispookably","f","j","same","1000","2000","500","null","null","true","70","3486.5","pprss","pook","un_mis","abl_y","unmispookably","p","1.0","2","s","t","unmitpookably","0"
"830.3999999761581","","same-different-html","72","2463971","0.0-72.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","inkoulivation","inkoulivation","f","j","same","1000","2000","500","null","null","true","70","2972.6999999284744","prsss","koul","in","iv_at_ion","inkoulivation","p","0.0","0","i","u","unkoulivation","0"
"1721.7999999523163","","same-different-html","73","2472227","0.0-73.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","keatnemtlasim","keatnemtrasim","f","j","different","1000","2000","500","null","null","true","74","4740.900000095367","rsss","keat","","nemt_la_sim","keatnemtlasim","s","1.0","0","l","r","keatnemtrasim","1"
"880.5","","same-different-html","74","2476067","0.0-74.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","talcro","talcro","f","j","same","1000","2000","500","null","null","true","70","1009.4000000953674","rs","talc","","ro","talcro","s","0.0","0","r","m","talcmo","0"
"1690.7999999523163","","same-different-html","75","2483787","0.0-75.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","edtalclazitanoi","edtalclazitanoi","f","j","same","1000","2000","500","null","null","true","70","4080.600000023842","prssss","talc","ed","la_zi_ta_noi","edtalclazitanoi","s","3.0","1","o","e","edtalclazitanei","0"
"937.8999999761581","","same-different-html","76","2488463","0.0-76.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","presoomically","preseomically","f","j","different","1000","2000","500","null","null","true","74","1894.8999999761581","prsss","soom","pre","ic_al_ly","presoomically","r","","1","o","e","preseomically","1"
"800.9000000953674","","same-different-html","77","2491889","0.0-77.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","koopnemt","koopnelt","f","j","different","1000","2000","500","null","null","true","74","840","rs","koop","","nemt","koopnemt","s","0.0","2","m","l","koopnelt","1"
"764.3999999761581","","same-different-html","78","2496286","0.0-78.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","reoutgirt","reoutgirt","f","j","same","1000","2000","500","null","null","true","70","1881.6999999284744","ppr","girt","re_out","","reoutgirt","r","","0","g","t","reouttirt","0"
"1158.6000000238419","","same-different-html","79","2502034","0.0-79.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","riekisousens","riekisousens","f","j","same","1000","2000","500","null","null","true","70","2657.100000023842","rss","riek","","isou_sens","riekisousens","r","","3","k","t","rietisousens","0"
"1303.5","","same-different-html","80","2506546","0.0-80.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","fradcilayl","fladcilayl","f","j","different","1000","2000","500","null","null","true","74","1483.5999999046326","rsss","frad","","ci_la_yl","fradcilayl","r","","1","r","l","fladcilayl","1"
"1205.1000000238419","","same-different-html","81","2511566","0.0-81.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","neillibatiy","neillibatiy","f","j","same","1000","2000","500","null","null","true","70","2069.7999999523163","rss","neil","","liba_tiy","neillibatiy","s","1.0","0","t","p","neillibapiy","0"
"968.6000000238419","","same-different-html","82","2515572","0.0-82.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","ersidtek","ersedtek","f","j","different","1000","2000","500","null","null","true","74","1253.7999999523163","ppr","tek","er_sid","","ersidtek","p","1.0","1","i","e","ersedtek","1"
"1248.2999999523163","","same-different-html","83","2520748","0.0-83.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","nusimneilbaly","nusimneilbaly","f","j","same","1000","2000","500","null","null","true","70","1767.5","pprss","neil","nu_sim","bal_y","nusimneilbaly","p","1.0","2","m","y","nusiyneilbaly","0"
"1327","","same-different-html","84","2528159","0.0-84.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","dekrewationalism","dekrewationalism","f","j","same","1000","2000","500","null","null","true","70","4295.200000047684","prssss","krew","de","at_ion_al_ism","dekrewationalism","s","0.0","1","t","s","dekrewasionalism","0"
"969","","same-different-html","85","2532284","0.0-85.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","imlonically","imlomically","f","j","different","1000","2000","500","null","null","true","74","1317.1000000238419","prsss","lon","im","ic_al_ly","imlonically","r","","2","n","m","imlomically","1"
"1432.3999999761581","","same-different-html","86","2536690","0.0-86.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","exlon","exwon","f","j","different","1000","2000","500","null","null","false","70","967.2999999523163","pr","lon","ex","","exlon","r","","0","l","w","exwon","1"
"891.3999999761581","","same-different-html","87","2548147","0.0-87.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","prepont","grepont","f","j","different","1000","2000","500","null","null","true","74","795","pr","pont","pre","","prepont","p","0.0","0","p","g","grepont","1"
"881.5999999046326","","same-different-html","88","2552404","0.0-88.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","sidsarpre","sidsarpre","f","j","same","1000","2000","500","null","null","true","70","1605.3999999761581","prs","sarp","sid","re","sidsarpre","r","","3","p","d","sidsardre","0"
"1153.2999999523163","","same-different-html","89","2561947","0.0-89.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","misarpcilayl","misarpcilayl","f","j","same","1000","2000","500","null","null","true","70","6595.200000047684","prsss","sarp","mi","ci_la_yl","misarpcilayl","r","","2","r","m","misampcilayl","0"
"751.2999999523163","","same-different-html","90","2565589","0.0-90.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","unikrew","unikrew","f","j","same","1000","2000","500","null","null","true","70","970.7999999523163","pr","krew","uni","","unikrew","p","0.0","2","i","a","unakrew","0"
"966.3000000715256","","same-different-html","91","2569778","0.0-91.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","unkrewistically","ulkrewistically","f","j","different","1000","2000","500","null","null","true","74","1496.5999999046326","prssss","krew","un","ist_ic_al_ly","unkrewistically","p","0.0","1","n","l","ulkrewistically","1"
"571.1000000238419","","same-different-html","92","2573083","0.0-92.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","redeclat","redeclat","f","j","same","1000","2000","500","null","null","true","70","1030.1999999284744","ppr","clat","re_de","","redeclat","r","","0","c","p","redeplat","0"
"864","","same-different-html","93","2576846","0.0-93.0","stimuli/0.csv","true","zfvqevu3n7","","","","","","same-different-html","dismority","dismority","f","j","same","1000","2000","500","null","null","true","70","1009.1999999284744","prs","mor","dis","ity","dismority","s","0.0","2","y","w","dismoritw","0"
